
Created CAN interfafce connector

Connected to InfluxDB

Exiting
         6998656 function calls (6985722 primitive calls) in 42.873 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1814    0.009    0.000    0.009    0.000 {method 'settimeout' of '_socket.socket' objects}
     3626    0.009    0.000    0.009    0.000 {method 'update' of 'collections.OrderedDict' objects}
     7294    0.009    0.000    0.009    0.000 {method 'release' of '_thread.RLock' objects}
     1812    0.009    0.000    0.009    0.000 {method 'register' of 'select.poll' objects}
       33    0.009    0.000    0.025    0.001 enum.py:135(__new__)
     1813    0.009    0.000    0.052    0.000 models.py:576(prepare_hooks)
     1813    0.009    0.000    0.014    0.000 _internal_utils.py:30(unicode_is_ascii)
      720    0.009    0.000    0.010    0.000 version.py:343(_cmpkey)
     1812    0.009    0.000    0.029    0.000 models.py:707(is_redirect)
      243    0.009    0.000    0.010    0.000 {built-in method io.open}
      516    0.008    0.000    0.024    0.000 version.py:131(_legacy_cmpkey)
     3624    0.008    0.000    0.013    0.000 message.py:181(is_multipart)
     3638    0.008    0.000    0.008    0.000 {method 'acquire' of '_thread.lock' objects}
     1812    0.008    0.000    0.038    0.000 sessions.py:97(get_redirect_target)
     1813    0.008    0.000    0.010    0.000 client.py:425(flush)
     7909    0.008    0.000    0.008    0.000 {method 'setdefault' of 'dict' objects}
      462    0.008    0.000    0.038    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     3202    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
     3695    0.008    0.000    0.008    0.000 main.py:57(<genexpr>)
     1812    0.008    0.000    0.032    0.000 wait.py:99(do_poll)
     7248    0.008    0.000    0.008    0.000 cookies.py:111(info)
    475/6    0.008    0.000    1.629    0.271 <frozen importlib._bootstrap>:663(_load_unlocked)
     1817    0.008    0.000    0.014    0.000 __init__.py:1361(debug)
     3866    0.008    0.000    0.014    0.000 {built-in method builtins.all}
     1812    0.008    0.000    0.008    0.000 {method 'readinto' of '_io.BufferedReader' objects}
     1812    0.008    0.000    0.011    0.000 feedparser.py:210(_pop_message)
      644    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
1978/1269    0.007    0.000    0.033    0.000 __init__.py:2346(yield_lines)
       32    0.007    0.000    0.015    0.000 __init__.py:316(namedtuple)
     1812    0.007    0.000    0.010    0.000 hooks.py:23(dispatch_hook)
      861    0.007    0.000    0.012    0.000 posixpath.py:75(join)
     3624    0.007    0.000    0.010    0.000 response.py:200(<genexpr>)
     5413    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1812    0.007    0.000    0.032    0.000 client.py:379(_check_close)
     3625    0.007    0.000    0.007    0.000 {method 'extend' of 'collections.deque' objects}
     2148    0.007    0.000    0.012    0.000 version.py:114(_parse_version_parts)
     1813    0.007    0.000    0.007    0.000 socket.py:406(_decref_socketios)
      464    0.007    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     7570    0.007    0.000    0.007    0.000 {method 'items' of 'collections.OrderedDict' objects}
     1813    0.007    0.000    0.057    0.000 client.py:408(_close_conn)
     1813    0.007    0.000    0.010    0.000 poolmanager.py:282(_merge_pool_kwargs)
     1813    0.007    0.000    0.007    0.000 parser.py:18(__init__)
     1812    0.007    0.000    0.010    0.000 message.py:303(set_payload)
  510/154    0.007    0.000    0.172    0.001 sre_parse.py:417(_parse_sub)
     5437    0.007    0.000    0.007    0.000 cookiejar.py:43(_debug)
     1812    0.007    0.000    0.118    0.000 sessions.py:668(<listcomp>)
     1813    0.007    0.000    0.007    0.000 timeout.py:213(read_timeout)
     1241    0.007    0.000    0.093    0.000 __init__.py:2712(_get_metadata)
     1837    0.007    0.000    0.007    0.000 {built-in method _struct.pack}
      780    0.007    0.000    0.288    0.000 re.py:271(_compile)
     1813    0.007    0.000    0.011    0.000 timeout.py:171(start_connect)
      408    0.007    0.000    0.044    0.000 inspect.py:2198(_signature_from_callable)
     1813    0.007    0.000    0.007    0.000 {method 'write' of '_io.StringIO' objects}
     1813    0.007    0.000    0.007    0.000 {built-in method binascii.b2a_base64}
    496/6    0.006    0.000    1.633    0.272 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1836    0.006    0.000    0.006    0.000 {method 'unpack_from' of 'Struct' objects}
     3627    0.006    0.000    0.006    0.000 hooks.py:18(<dictcomp>)
     3624    0.006    0.000    0.006    0.000 cookies.py:104(__init__)
     1813    0.006    0.000    0.008    0.000 cookiejar.py:1278(_cookies_for_request)
     1812    0.006    0.000    0.019    0.000 retry.py:304(is_retry)
     2548    0.006    0.000    0.010    0.000 version.py:65(_compare)
     3625    0.006    0.000    0.006    0.000 {method 'truncate' of '_io.StringIO' objects}
     1813    0.006    0.000    0.008    0.000 sessions.py:80(merge_hooks)
     1813    0.006    0.000    0.008    0.000 request.py:77(set_file_position)
      953    0.006    0.000    0.011    0.000 inspect.py:2467(__init__)
     1813    0.006    0.000    0.009    0.000 connection.py:116(host)
     1823    0.006    0.000    0.008    0.000 queue.py:17(_put)
     3275    0.006    0.000    0.009    0.000 {built-in method builtins.setattr}
     1812    0.006    0.000    0.021    0.000 response.py:532(getheader)
       46    0.006    0.000    0.007    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      192    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
     1836    0.006    0.000    0.006    0.000 {built-in method _struct.unpack}
     1813    0.006    0.000    0.008    0.000 queue.py:20(_get)
      471    0.006    0.000    0.009    0.000 copy.py:268(_reconstruct)
      644    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:78(acquire)
     3601    0.005    0.000    0.005    0.000 textparser.py:95(get_value)
      471    0.005    0.000    0.019    0.000 copy.py:66(copy)
     1813    0.005    0.000    0.005    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2371    0.005    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
